ngram,year,frequency,shift,side
mongolism,1900,1.976566832428972e-08,1960s_down,old
mongolism,1901,5.808290126640969e-09,1960s_down,old
mongolism,1902,5.354888754638409e-09,1960s_down,old
mongolism,1903,1.1763963969624314e-08,1960s_down,old
mongolism,1904,1.0316285825595628e-08,1960s_down,old
mongolism,1905,3.1337288319832624e-08,1960s_down,old
mongolism,1906,2.0194895700154092e-08,1960s_down,old
mongolism,1907,1.6424474280629653e-08,1960s_down,old
mongolism,1908,3.361933162415731e-08,1960s_down,old
mongolism,1909,2.1720980569739368e-08,1960s_down,old
mongolism,1910,2.0100038966575084e-08,1960s_down,old
mongolism,1911,1.882995051549763e-08,1960s_down,old
mongolism,1912,2.064395146494924e-08,1960s_down,old
mongolism,1913,2.3815054706055605e-08,1960s_down,old
mongolism,1914,3.405024179281568e-08,1960s_down,old
mongolism,1915,4.913769419134795e-08,1960s_down,old
mongolism,1916,4.3837419805292654e-08,1960s_down,old
mongolism,1917,3.417335336930449e-08,1960s_down,old
mongolism,1918,3.5144883225868284e-08,1960s_down,old
mongolism,1919,3.350544508506914e-08,1960s_down,old
mongolism,1920,4.320998225892936e-08,1960s_down,old
mongolism,1921,4.9022235715234785e-08,1960s_down,old
mongolism,1922,7.149752345725346e-08,1960s_down,old
mongolism,1923,4.563765398923891e-08,1960s_down,old
mongolism,1924,8.520628469455005e-08,1960s_down,old
mongolism,1925,7.04976318433026e-08,1960s_down,old
mongolism,1926,3.9015424710409086e-08,1960s_down,old
mongolism,1927,5.094331212429637e-08,1960s_down,old
mongolism,1928,1.4380535073854617e-07,1960s_down,old
mongolism,1929,8.616742031009039e-08,1960s_down,old
mongolism,1930,5.921073581438563e-08,1960s_down,old
mongolism,1931,1.6301940169993756e-07,1960s_down,old
mongolism,1932,7.06232297087439e-08,1960s_down,old
mongolism,1933,1.0158540469928923e-07,1960s_down,old
mongolism,1934,1.173402517373745e-07,1960s_down,old
mongolism,1935,9.284702828793456e-08,1960s_down,old
mongolism,1936,1.1303256686190366e-07,1960s_down,old
mongolism,1937,1.5664602148746098e-07,1960s_down,old
mongolism,1938,1.0764498326043537e-07,1960s_down,old
mongolism,1939,1.4304453921365479e-07,1960s_down,old
mongolism,1940,1.1326687809898317e-07,1960s_down,old
mongolism,1941,9.410024048861487e-08,1960s_down,old
mongolism,1942,1.4689964600300698e-07,1960s_down,old
mongolism,1943,1.2765085344312865e-07,1960s_down,old
mongolism,1944,1.262546972524703e-07,1960s_down,old
mongolism,1945,1.1263417848406121e-07,1960s_down,old
mongolism,1946,2.473353881704554e-07,1960s_down,old
mongolism,1947,2.0331566830122938e-07,1960s_down,old
mongolism,1948,1.2560496331914806e-07,1960s_down,old
mongolism,1949,1.7259672713265672e-07,1960s_down,old
mongolism,1950,1.7176207078861694e-07,1960s_down,old
mongolism,1951,1.5561000132890968e-07,1960s_down,old
mongolism,1952,2.2963421919541815e-07,1960s_down,old
mongolism,1953,2.97520845293775e-07,1960s_down,old
mongolism,1954,2.3643695978847745e-07,1960s_down,old
mongolism,1955,2.1913613323931713e-07,1960s_down,old
mongolism,1956,2.2755668727114653e-07,1960s_down,old
mongolism,1957,2.99246435631062e-07,1960s_down,old
mongolism,1958,2.951464583844654e-07,1960s_down,old
mongolism,1959,4.1679436257879843e-07,1960s_down,old
mongolism,1960,4.5691354788601757e-07,1960s_down,old
mongolism,1961,5.786063947965658e-07,1960s_down,old
mongolism,1962,6.639254959139862e-07,1960s_down,old
mongolism,1963,7.412984928123478e-07,1960s_down,old
mongolism,1964,7.431376616295893e-07,1960s_down,old
mongolism,1965,6.27571214550926e-07,1960s_down,old
mongolism,1966,6.649845403217114e-07,1960s_down,old
mongolism,1967,5.425304188122482e-07,1960s_down,old
mongolism,1968,4.6205132875343224e-07,1960s_down,old
mongolism,1969,6.230242775018269e-07,1960s_down,old
mongolism,1970,4.692367525649388e-07,1960s_down,old
mongolism,1971,4.073743422594589e-07,1960s_down,old
mongolism,1972,3.8186775341841894e-07,1960s_down,old
mongolism,1973,3.339429035520425e-07,1960s_down,old
mongolism,1974,3.47930457778034e-07,1960s_down,old
mongolism,1975,3.7245199546731556e-07,1960s_down,old
mongolism,1976,2.662441440648422e-07,1960s_down,old
mongolism,1977,2.7848979833322574e-07,1960s_down,old
mongolism,1978,2.3546745042679618e-07,1960s_down,old
mongolism,1979,1.8749797181527583e-07,1960s_down,old
mongolism,1980,1.5625014260223224e-07,1960s_down,old
mongolism,1981,1.341737045912339e-07,1960s_down,old
mongolism,1982,1.5111021145486347e-07,1960s_down,old
mongolism,1983,1.3593760894714535e-07,1960s_down,old
mongolism,1984,1.0462742983108342e-07,1960s_down,old
mongolism,1985,9.649766052888253e-08,1960s_down,old
mongolism,1986,9.228703579111652e-08,1960s_down,old
mongolism,1987,8.56197108767276e-08,1960s_down,old
mongolism,1988,6.486795145477231e-08,1960s_down,old
mongolism,1989,5.962773741430283e-08,1960s_down,old
mongolism,1990,6.366469174068357e-08,1960s_down,old
mongolism,1991,5.540969139072871e-08,1960s_down,old
mongolism,1992,5.2989927057378594e-08,1960s_down,old
mongolism,1993,3.970510475959088e-08,1960s_down,old
mongolism,1994,3.6879873765993665e-08,1960s_down,old
mongolism,1995,4.034999845359266e-08,1960s_down,old
mongolism,1996,2.9263094725173744e-08,1960s_down,old
mongolism,1997,3.3048905945243234e-08,1960s_down,old
mongolism,1998,3.988124791520775e-08,1960s_down,old
mongolism,1999,3.66148480979156e-08,1960s_down,old
mongolism,2000,3.1529585942102756e-08,1960s_down,old
mongolism,2001,2.823026995502076e-08,1960s_down,old
mongolism,2002,3.5836796974386687e-08,1960s_down,old
mongolism,2003,2.904125606661978e-08,1960s_down,old
mongolism,2004,2.4385140684479722e-08,1960s_down,old
mongolism,2005,2.9387463101882005e-08,1960s_down,old
mongolism,2006,2.776625365741303e-08,1960s_down,old
mongolism,2007,2.2997110007971777e-08,1960s_down,old
mongolism,2008,1.8433481754898118e-08,1960s_down,old
mongolism,2009,2.1723681020713315e-08,1960s_down,old
mongolism,2010,1.8897774400894463e-08,1960s_down,old
mongolism,2011,4.32969044228404e-08,1960s_down,old
mongolism,2012,4.1847725978927386e-08,1960s_down,old
mongolism,2013,4.7456442817117583e-08,1960s_down,old
mongolism,2014,2.3235197196824764e-08,1960s_down,old
mongolism,2015,1.9063291431531404e-08,1960s_down,old
mongolism,2016,2.02643226747401e-08,1960s_down,old
mongolism,2017,2.6877615133535926e-08,1960s_down,old
mongolism,2018,1.615624722547948e-08,1960s_down,old
mongolism,2019,1.8794232836683022e-08,1960s_down,old
Down syndrome,1900,1.6059345797625468e-09,1960s_down,new
Down syndrome,1901,0.0,1960s_down,new
Down syndrome,1902,0.0,1960s_down,new
Down syndrome,1903,0.0,1960s_down,new
Down syndrome,1904,0.0,1960s_down,new
Down syndrome,1905,0.0,1960s_down,new
Down syndrome,1906,0.0,1960s_down,new
Down syndrome,1907,0.0,1960s_down,new
Down syndrome,1908,0.0,1960s_down,new
Down syndrome,1909,0.0,1960s_down,new
Down syndrome,1910,0.0,1960s_down,new
Down syndrome,1911,0.0,1960s_down,new
Down syndrome,1912,0.0,1960s_down,new
Down syndrome,1913,0.0,1960s_down,new
Down syndrome,1914,0.0,1960s_down,new
Down syndrome,1915,3.2578324482557264e-09,1960s_down,new
Down syndrome,1916,2.851056682406927e-10,1960s_down,new
Down syndrome,1917,0.0,1960s_down,new
Down syndrome,1918,0.0,1960s_down,new
Down syndrome,1919,7.00938918019034e-10,1960s_down,new
Down syndrome,1920,9.290508640180661e-11,1960s_down,new
Down syndrome,1921,2.868815601742014e-10,1960s_down,new
Down syndrome,1922,0.0,1960s_down,new
Down syndrome,1923,3.083426847183546e-10,1960s_down,new
Down syndrome,1924,0.0,1960s_down,new
Down syndrome,1925,0.0,1960s_down,new
Down syndrome,1926,1.6325998886124182e-10,1960s_down,new
Down syndrome,1927,3.2468329830281917e-09,1960s_down,new
Down syndrome,1928,4.5871161036270536e-10,1960s_down,new
Down syndrome,1929,7.616520747433242e-10,1960s_down,new
Down syndrome,1930,3.0226418590295623e-10,1960s_down,new
Down syndrome,1931,0.0,1960s_down,new
Down syndrome,1932,0.0,1960s_down,new
Down syndrome,1933,2.172346663664726e-09,1960s_down,new
Down syndrome,1934,3.489004918311167e-10,1960s_down,new
Down syndrome,1935,8.33457003412974e-09,1960s_down,new
Down syndrome,1936,4.621610316668523e-10,1960s_down,new
Down syndrome,1937,0.0,1960s_down,new
Down syndrome,1938,2.9560207059908805e-10,1960s_down,new
Down syndrome,1939,2.7851546069435074e-10,1960s_down,new
Down syndrome,1940,1.4920278901264794e-10,1960s_down,new
Down syndrome,1941,1.4463513720031074e-10,1960s_down,new
Down syndrome,1942,4.968876143873757e-10,1960s_down,new
Down syndrome,1943,1.3731155934504358e-09,1960s_down,new
Down syndrome,1944,0.0,1960s_down,new
Down syndrome,1945,2.322363412687878e-09,1960s_down,new
Down syndrome,1946,4.2844794378993356e-10,1960s_down,new
Down syndrome,1947,2.5271271186788624e-10,1960s_down,new
Down syndrome,1948,9.991512062157426e-10,1960s_down,new
Down syndrome,1949,7.269087817785014e-09,1960s_down,new
Down syndrome,1950,1.0468618777403904e-08,1960s_down,new
Down syndrome,1951,5.688254728353215e-10,1960s_down,new
Down syndrome,1952,2.2636570395917488e-10,1960s_down,new
Down syndrome,1953,5.629066310297581e-10,1960s_down,new
Down syndrome,1954,2.4233760553826755e-09,1960s_down,new
Down syndrome,1955,2.2963132506603756e-09,1960s_down,new
Down syndrome,1956,4.1763544705863964e-10,1960s_down,new
Down syndrome,1957,2.0290217839225022e-09,1960s_down,new
Down syndrome,1958,2.7016188453021783e-09,1960s_down,new
Down syndrome,1959,3.58816976131493e-10,1960s_down,new
Down syndrome,1960,5.346065090616747e-09,1960s_down,new
Down syndrome,1961,6.6574646906403245e-09,1960s_down,new
Down syndrome,1962,4.815114668099696e-09,1960s_down,new
Down syndrome,1963,6.1338810697364465e-09,1960s_down,new
Down syndrome,1964,1.3040282048626395e-08,1960s_down,new
Down syndrome,1965,8.832390985258343e-09,1960s_down,new
Down syndrome,1966,8.313322474862161e-09,1960s_down,new
Down syndrome,1967,2.115492171717026e-08,1960s_down,new
Down syndrome,1968,1.6147931991561393e-08,1960s_down,new
Down syndrome,1969,2.507980489951933e-08,1960s_down,new
Down syndrome,1970,1.1490404024094847e-08,1960s_down,new
Down syndrome,1971,2.6500303507148715e-08,1960s_down,new
Down syndrome,1972,1.0768450138531893e-08,1960s_down,new
Down syndrome,1973,1.647477404498332e-08,1960s_down,new
Down syndrome,1974,2.5589960955807456e-08,1960s_down,new
Down syndrome,1975,1.1590475830491886e-07,1960s_down,new
Down syndrome,1976,1.2545954918702362e-07,1960s_down,new
Down syndrome,1977,1.4817820141038718e-07,1960s_down,new
Down syndrome,1978,2.1731289662207942e-07,1960s_down,new
Down syndrome,1979,1.8369731913381315e-07,1960s_down,new
Down syndrome,1980,2.1755202819079278e-07,1960s_down,new
Down syndrome,1981,2.5970875679875993e-07,1960s_down,new
Down syndrome,1982,4.4053450976716535e-07,1960s_down,new
Down syndrome,1983,3.661625645259847e-07,1960s_down,new
Down syndrome,1984,3.929599912688708e-07,1960s_down,new
Down syndrome,1985,5.2533301877003e-07,1960s_down,new
Down syndrome,1986,6.288271952037405e-07,1960s_down,new
Down syndrome,1987,7.552405171494525e-07,1960s_down,new
Down syndrome,1988,7.341308581355899e-07,1960s_down,new
Down syndrome,1989,8.207740588711543e-07,1960s_down,new
Down syndrome,1990,9.446606554081027e-07,1960s_down,new
Down syndrome,1991,7.151082659362373e-07,1960s_down,new
Down syndrome,1992,8.846227807259022e-07,1960s_down,new
Down syndrome,1993,8.428638994945059e-07,1960s_down,new
Down syndrome,1994,7.886917296681673e-07,1960s_down,new
Down syndrome,1995,1.0227885483757304e-06,1960s_down,new
Down syndrome,1996,8.939099619062474e-07,1960s_down,new
Down syndrome,1997,7.656388155349858e-07,1960s_down,new
Down syndrome,1998,8.431691334541414e-07,1960s_down,new
Down syndrome,1999,8.20357738209182e-07,1960s_down,new
Down syndrome,2000,8.85369818893339e-07,1960s_down,new
Down syndrome,2001,9.014206068733155e-07,1960s_down,new
Down syndrome,2002,8.849284221512654e-07,1960s_down,new
Down syndrome,2003,9.039242673189452e-07,1960s_down,new
Down syndrome,2004,8.469950619031941e-07,1960s_down,new
Down syndrome,2005,9.942938906798426e-07,1960s_down,new
Down syndrome,2006,1.1738273785893982e-06,1960s_down,new
Down syndrome,2007,1.0154326916325673e-06,1960s_down,new
Down syndrome,2008,1.3396274431559663e-06,1960s_down,new
Down syndrome,2009,9.417794852029093e-07,1960s_down,new
Down syndrome,2010,1.2131421863112446e-06,1960s_down,new
Down syndrome,2011,1.4858100604552005e-06,1960s_down,new
Down syndrome,2012,1.2628355136028863e-06,1960s_down,new
Down syndrome,2013,1.1915840154204382e-06,1960s_down,new
Down syndrome,2014,1.0438982319463386e-06,1960s_down,new
Down syndrome,2015,1.1536536075919257e-06,1960s_down,new
Down syndrome,2016,1.0288893959042866e-06,1960s_down,new
Down syndrome,2017,9.112466169969302e-07,1960s_down,new
Down syndrome,2018,9.53862302019437e-07,1960s_down,new
Down syndrome,2019,8.706542555560193e-07,1960s_down,new
trisomy 21,1900,0.0,1960s_down,new
trisomy 21,1901,0.0,1960s_down,new
trisomy 21,1902,0.0,1960s_down,new
trisomy 21,1903,0.0,1960s_down,new
trisomy 21,1904,0.0,1960s_down,new
trisomy 21,1905,0.0,1960s_down,new
trisomy 21,1906,9.531235106718938e-10,1960s_down,new
trisomy 21,1907,0.0,1960s_down,new
trisomy 21,1908,0.0,1960s_down,new
trisomy 21,1909,0.0,1960s_down,new
trisomy 21,1910,0.0,1960s_down,new
trisomy 21,1911,0.0,1960s_down,new
trisomy 21,1912,0.0,1960s_down,new
trisomy 21,1913,0.0,1960s_down,new
trisomy 21,1914,0.0,1960s_down,new
trisomy 21,1915,2.299646528758359e-09,1960s_down,new
trisomy 21,1916,0.0,1960s_down,new
trisomy 21,1917,0.0,1960s_down,new
trisomy 21,1918,0.0,1960s_down,new
trisomy 21,1919,0.0,1960s_down,new
trisomy 21,1920,0.0,1960s_down,new
trisomy 21,1921,9.56271867247338e-11,1960s_down,new
trisomy 21,1922,0.0,1960s_down,new
trisomy 21,1923,0.0,1960s_down,new
trisomy 21,1924,0.0,1960s_down,new
trisomy 21,1925,0.0,1960s_down,new
trisomy 21,1926,0.0,1960s_down,new
trisomy 21,1927,0.0,1960s_down,new
trisomy 21,1928,0.0,1960s_down,new
trisomy 21,1929,0.0,1960s_down,new
trisomy 21,1930,0.0,1960s_down,new
trisomy 21,1931,0.0,1960s_down,new
trisomy 21,1932,0.0,1960s_down,new
trisomy 21,1933,7.4221842005783856e-09,1960s_down,new
trisomy 21,1934,0.0,1960s_down,new
trisomy 21,1935,4.717681245658412e-10,1960s_down,new
trisomy 21,1936,7.702683491039863e-10,1960s_down,new
trisomy 21,1937,2.8383250194607967e-09,1960s_down,new
trisomy 21,1938,0.0,1960s_down,new
trisomy 21,1939,0.0,1960s_down,new
trisomy 21,1940,0.0,1960s_down,new
trisomy 21,1941,0.0,1960s_down,new
