label,term,year,n_records
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1950,17
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1951,32
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1952,25
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1953,24
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1954,45
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1955,33
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1956,39
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1957,59
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1958,46
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1959,49
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1960,61
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1961,89
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1962,112
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1963,187
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1964,235
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1965,132
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1966,44
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1967,35
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1968,30
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1969,39
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1970,26
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1971,25
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1972,19
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1973,12
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1974,10
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1975,21
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1976,16
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1977,7
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1978,8
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1979,9
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1980,6
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1981,6
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1982,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1983,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1984,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1985,3
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1986,4
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1987,2
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1988,3
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1989,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1990,2
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1991,3
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1992,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1993,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1994,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1995,2
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1996,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1997,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1998,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",1999,2
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2000,3
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2001,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2002,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2003,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2004,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2005,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2006,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2007,2
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2008,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2009,8
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2010,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2011,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2012,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2013,2
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2014,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2015,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2016,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2017,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2018,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2019,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2020,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2021,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2022,1
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2023,0
ID_old_mongolism,"mongolism OR ""Mongolian idiocy""",2024,1
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1950,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1951,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1952,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1953,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1954,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1955,1
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1956,1
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1957,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1958,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1959,0
ID_new_down,"""Down syndrome"" OR ""Down's syndrome"" OR ""trisomy 21""",1960,0
