year,biology_oncology_process_verb,bone_skeletal,chemistry_materials_process_verb,clinical_intellectual_disability,environmental_agricultural,food_science,growth_developmental,physics_retarded_potential,psychomotor_psychiatric,scientific_process_passive_voice,slur_explicit_mention,speech_language,unknown
1990,141,0,19,243,2,1,73,0,0,27,0,0,468
1991,139,0,21,230,3,0,58,0,3,19,0,1,460
1992,136,0,23,216,2,2,69,0,1,13,0,0,445
1993,138,0,18,167,2,0,74,0,3,15,0,0,448
1994,128,0,26,156,1,0,69,0,3,13,0,0,444
1995,128,0,31,130,0,1,83,0,0,18,0,1,433
1996,144,0,21,122,1,0,59,1,0,17,0,0,466
1997,173,0,23,135,1,1,62,0,0,11,0,0,449
1998,151,0,34,132,1,0,53,1,1,19,0,1,458
1999,156,0,41,148,0,1,52,0,1,13,0,0,424
2000,159,0,38,122,3,0,59,2,4,16,0,0,417
2001,181,0,45,96,0,1,71,1,1,21,0,0,457
2002,189,0,44,103,1,1,46,1,1,26,0,1,411
2003,220,1,48,92,1,2,51,1,4,21,0,0,483
2004,215,0,62,103,1,1,38,3,0,28,0,0,459
2005,222,0,55,92,5,0,40,0,1,22,0,1,479
2006,234,1,59,84,7,1,43,1,2,22,0,1,474
2007,231,0,55,77,4,0,38,2,2,22,0,0,465
2008,228,0,59,74,5,1,31,1,3,19,0,0,462
2009,258,1,40,55,2,1,25,3,2,26,0,0,441
2010,255,0,57,64,2,0,31,2,0,15,1,0,473
2011,254,0,55,51,2,3,23,2,1,16,0,0,460
2012,248,0,52,39,3,4,31,1,1,25,0,0,469
2013,257,0,67,22,6,1,25,2,1,14,0,0,504
2014,248,0,68,33,4,3,35,1,0,27,0,0,509
2015,242,0,51,33,4,1,21,2,1,24,1,0,481
2016,300,0,60,29,6,5,21,2,1,29,1,0,457
2017,275,0,74,23,4,4,16,0,0,20,0,0,498
2018,279,0,74,7,5,8,16,1,1,18,1,0,447
2019,286,1,82,17,2,6,14,2,1,25,0,0,533
2020,289,0,113,17,3,6,29,2,2,26,0,0,547
2021,339,0,95,17,4,10,20,2,0,24,0,0,565
2022,323,0,117,16,4,13,18,1,0,30,0,0,574
2023,291,0,80,16,1,14,13,3,2,18,0,0,494
2024,215,0,81,7,2,7,10,0,1,20,0,0,464
2025,2,0,0,0,0,0,0,0,0,1,0,0,3
