year,cannabidiol_chemistry_analytics,cannabidiol_clinical_trial,cannabidiol_consumer_wellness,cannabidiol_endocannabinoid_pharmacology,cannabidiol_epilepsy_pharmacology,cannabidiol_regulatory_legal,common_bile_duct_anatomy,corticobasal_degeneration_neurology,unknown
2000,0,0,0,10,0,0,58,35,46
2001,0,0,0,6,0,0,52,24,57
2002,0,0,0,9,0,0,60,31,54
2003,1,0,0,21,0,0,53,34,51
2004,2,1,0,27,0,0,63,45,56
2005,3,0,0,27,0,0,66,30,64
2006,5,2,0,29,0,0,48,31,74
2007,3,0,0,36,0,1,66,27,81
2008,5,1,0,23,0,0,75,21,61
2009,5,1,0,40,0,0,87,24,72
2010,6,3,0,38,0,1,92,21,94
2011,12,2,0,53,0,0,88,30,108
2012,15,7,0,70,0,0,110,21,115
2013,6,2,0,62,1,0,132,30,144
2014,13,4,1,63,3,0,124,30,135
2015,11,5,0,71,3,0,117,20,153
2016,17,9,0,92,10,0,127,24,169
2017,10,12,0,122,19,1,129,22,161
2018,22,19,2,148,40,1,116,30,237
2019,36,21,5,214,53,2,116,40,340
2020,57,25,27,327,86,5,155,39,419
2021,75,31,18,384,66,7,164,48,522
2022,82,50,24,398,56,11,180,42,526
2023,68,52,25,382,57,7,143,35,534
2024,121,54,18,350,58,5,150,53,555
2025,1,0,0,1,0,0,1,0,1
2026,0,0,0,0,0,0,0,0,1
