label,term,year,n_records
T2_moron,moron OR morons OR moronic,1950,0
T2_moron,moron OR morons OR moronic,1951,3
T2_moron,moron OR morons OR moronic,1952,0
T2_moron,moron OR morons OR moronic,1953,2
T2_moron,moron OR morons OR moronic,1954,0
T2_moron,moron OR morons OR moronic,1955,0
T2_moron,moron OR morons OR moronic,1956,1
T2_moron,moron OR morons OR moronic,1957,1
T2_moron,moron OR morons OR moronic,1958,0
T2_moron,moron OR morons OR moronic,1959,1
T2_moron,moron OR morons OR moronic,1960,0
T2_moron,moron OR morons OR moronic,1961,0
T2_moron,moron OR morons OR moronic,1962,0
T2_moron,moron OR morons OR moronic,1963,0
T2_moron,moron OR morons OR moronic,1964,0
T2_moron,moron OR morons OR moronic,1965,0
T2_moron,moron OR morons OR moronic,1966,1
T2_moron,moron OR morons OR moronic,1967,0
T2_moron,moron OR morons OR moronic,1968,0
T2_moron,moron OR morons OR moronic,1969,0
T2_moron,moron OR morons OR moronic,1970,0
T2_moron,moron OR morons OR moronic,1971,0
T2_moron,moron OR morons OR moronic,1972,0
T2_moron,moron OR morons OR moronic,1973,0
T2_moron,moron OR morons OR moronic,1974,1
T2_moron,moron OR morons OR moronic,1975,0
T2_moron,moron OR morons OR moronic,1976,0
T2_moron,moron OR morons OR moronic,1977,1
T2_moron,moron OR morons OR moronic,1978,0
T2_moron,moron OR morons OR moronic,1979,2
T2_moron,moron OR morons OR moronic,1980,0
T2_moron,moron OR morons OR moronic,1981,1
T2_moron,moron OR morons OR moronic,1982,0
T2_moron,moron OR morons OR moronic,1983,0
T2_moron,moron OR morons OR moronic,1984,0
T2_moron,moron OR morons OR moronic,1985,0
T2_moron,moron OR morons OR moronic,1986,0
T2_moron,moron OR morons OR moronic,1987,0
T2_moron,moron OR morons OR moronic,1988,1
T2_moron,moron OR morons OR moronic,1989,0
T2_moron,moron OR morons OR moronic,1990,1
T2_moron,moron OR morons OR moronic,1991,2
T2_moron,moron OR morons OR moronic,1992,1
T2_moron,moron OR morons OR moronic,1993,0
T2_moron,moron OR morons OR moronic,1994,0
T2_moron,moron OR morons OR moronic,1995,0
T2_moron,moron OR morons OR moronic,1996,3
T2_moron,moron OR morons OR moronic,1997,1
T2_moron,moron OR morons OR moronic,1998,2
T2_moron,moron OR morons OR moronic,1999,4
T2_moron,moron OR morons OR moronic,2000,3
T2_moron,moron OR morons OR moronic,2001,2
T2_moron,moron OR morons OR moronic,2002,0
T2_moron,moron OR morons OR moronic,2003,3
T2_moron,moron OR morons OR moronic,2004,1
T2_moron,moron OR morons OR moronic,2005,3
T2_moron,moron OR morons OR moronic,2006,3
T2_moron,moron OR morons OR moronic,2007,3
T2_moron,moron OR morons OR moronic,2008,5
T2_moron,moron OR morons OR moronic,2009,4
T2_moron,moron OR morons OR moronic,2010,6
T2_moron,moron OR morons OR moronic,2011,2
T2_moron,moron OR morons OR moronic,2012,5
T2_moron,moron OR morons OR moronic,2013,6
T2_moron,moron OR morons OR moronic,2014,4
T2_moron,moron OR morons OR moronic,2015,3
T2_moron,moron OR morons OR moronic,2016,2
T2_moron,moron OR morons OR moronic,2017,6
T2_moron,moron OR morons OR moronic,2018,9
T2_moron,moron OR morons OR moronic,2019,10
T2_moron,moron OR morons OR moronic,2020,4
T2_moron,moron OR morons OR moronic,2021,4
T2_moron,moron OR morons OR moronic,2022,10
T2_moron,moron OR morons OR moronic,2023,8
T2_moron,moron OR morons OR moronic,2024,9
T2_imbecile,imbecile OR imbeciles OR imbecility,1950,0
T2_imbecile,imbecile OR imbeciles OR imbecility,1951,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1952,4
T2_imbecile,imbecile OR imbeciles OR imbecility,1953,0
T2_imbecile,imbecile OR imbeciles OR imbecility,1954,8
T2_imbecile,imbecile OR imbeciles OR imbecility,1955,4
T2_imbecile,imbecile OR imbeciles OR imbecility,1956,3
T2_imbecile,imbecile OR imbeciles OR imbecility,1957,4
T2_imbecile,imbecile OR imbeciles OR imbecility,1958,6
T2_imbecile,imbecile OR imbeciles OR imbecility,1959,5
T2_imbecile,imbecile OR imbeciles OR imbecility,1960,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1961,9
T2_imbecile,imbecile OR imbeciles OR imbecility,1962,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1963,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1964,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1965,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1966,4
T2_imbecile,imbecile OR imbeciles OR imbecility,1967,3
T2_imbecile,imbecile OR imbeciles OR imbecility,1968,8
T2_imbecile,imbecile OR imbeciles OR imbecility,1969,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1970,0
T2_imbecile,imbecile OR imbeciles OR imbecility,1971,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1972,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1973,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1974,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1975,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1976,3
T2_imbecile,imbecile OR imbeciles OR imbecility,1977,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1978,5
T2_imbecile,imbecile OR imbeciles OR imbecility,1979,4
T2_imbecile,imbecile OR imbeciles OR imbecility,1980,3
T2_imbecile,imbecile OR imbeciles OR imbecility,1981,3
T2_imbecile,imbecile OR imbeciles OR imbecility,1982,0
T2_imbecile,imbecile OR imbeciles OR imbecility,1983,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1984,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1985,3
T2_imbecile,imbecile OR imbeciles OR imbecility,1986,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1987,4
T2_imbecile,imbecile OR imbeciles OR imbecility,1988,5
T2_imbecile,imbecile OR imbeciles OR imbecility,1989,4
T2_imbecile,imbecile OR imbeciles OR imbecility,1990,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1991,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1992,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1993,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1994,3
T2_imbecile,imbecile OR imbeciles OR imbecility,1995,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1996,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1997,2
T2_imbecile,imbecile OR imbeciles OR imbecility,1998,1
T2_imbecile,imbecile OR imbeciles OR imbecility,1999,2
T2_imbecile,imbecile OR imbeciles OR imbecility,2000,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2001,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2002,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2003,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2004,3
T2_imbecile,imbecile OR imbeciles OR imbecility,2005,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2006,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2007,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2008,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2009,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2010,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2011,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2012,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2013,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2014,2
T2_imbecile,imbecile OR imbeciles OR imbecility,2015,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2016,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2017,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2018,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2019,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2020,2
T2_imbecile,imbecile OR imbeciles OR imbecility,2021,1
T2_imbecile,imbecile OR imbeciles OR imbecility,2022,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2023,0
T2_imbecile,imbecile OR imbeciles OR imbecility,2024,0
T2_idiocy_clinical,"idiocy OR ""Mongolian idiocy"" OR ""amaurotic idiocy""",1950,6
