year,biology_oncology_process_verb,bone_skeletal,chemistry_materials_process_verb,clinical_intellectual_disability,environmental_agricultural,food_science,growth_developmental,physics_retarded_potential,psychomotor_psychiatric,scientific_process_passive_voice,slur_explicit_mention,speech_language,unknown
1990,195,2,24,642,2,1,457,0,42,29,0,3,802
1991,182,0,25,677,3,0,457,0,62,25,0,2,830
1992,168,1,28,732,2,2,466,0,56,20,0,1,829
1993,190,2,24,721,2,0,485,0,75,19,0,4,829
1994,165,1,33,676,1,1,513,0,56,16,0,4,845
1995,174,1,38,709,1,2,472,0,56,23,0,1,780
1996,190,0,26,737,1,0,493,1,57,21,0,2,840
1997,232,0,28,758,2,2,508,0,46,17,0,0,740
1998,200,1,38,742,1,0,508,1,72,26,0,3,784
1999,207,1,49,855,0,1,487,0,73,20,0,3,722
2000,214,3,47,801,4,0,512,2,71,23,0,4,742
2001,245,2,50,775,0,1,530,1,68,28,0,1,808
2002,255,0,57,815,1,1,487,1,70,32,0,2,777
2003,276,2,67,823,3,2,515,1,57,25,0,0,838
2004,255,0,76,861,1,1,478,3,80,35,0,1,854
2005,284,2,68,943,6,2,491,0,69,32,0,7,927
2006,285,2,72,986,7,2,503,1,75,32,0,6,908
2007,284,0,77,932,5,1,459,2,96,30,0,3,886
2008,301,1,72,962,7,2,449,1,77,28,0,1,1013
2009,312,1,52,954,3,2,463,3,86,31,0,0,871
2010,313,2,73,912,3,1,501,2,82,26,1,1,963
2011,317,1,71,872,3,4,533,2,77,28,0,3,1013
2012,334,0,73,776,4,4,575,2,90,40,0,1,1076
2013,336,2,82,680,6,1,538,3,100,26,0,1,1177
2014,324,0,85,635,5,5,532,1,91,40,0,2,1252
2015,302,0,80,567,5,1,534,2,82,37,1,0,1242
2016,349,4,87,543,7,7,477,2,81,44,1,2,1302
2017,342,0,97,434,4,6,451,0,80,42,0,1,1342
2018,348,0,106,416,5,8,486,1,75,30,1,1,1374
2019,358,2,111,415,2,6,526,2,72,48,0,0,1594
2020,357,2,141,433,3,10,584,2,92,52,0,0,1673
2021,415,1,134,443,5,14,604,3,85,47,0,4,1721
2022,403,0,149,366,5,17,628,1,95,58,0,3,1796
2023,350,2,104,240,4,18,546,3,87,47,0,3,1656
2024,290,0,128,205,2,9,562,0,90,44,0,1,1821
2025,2,0,0,1,0,0,4,0,0,1,0,0,6
