label,year,sense,n_records
T3_dwarf_clinical,1950,biology_animal_model,0
T3_dwarf_clinical,1951,biology_animal_model,0
T3_dwarf_clinical,1952,biology_animal_model,1
T3_dwarf_clinical,1953,biology_animal_model,2
T3_dwarf_clinical,1954,biology_animal_model,1
T3_dwarf_clinical,1955,biology_animal_model,0
T3_dwarf_clinical,1956,biology_animal_model,0
T3_dwarf_clinical,1957,biology_animal_model,1
T3_dwarf_clinical,1958,biology_animal_model,0
T3_dwarf_clinical,1959,biology_animal_model,5
T3_dwarf_clinical,1960,biology_animal_model,0
T3_dwarf_clinical,1961,biology_animal_model,2
T3_dwarf_clinical,1962,biology_animal_model,0
T3_dwarf_clinical,1963,biology_animal_model,1
T3_dwarf_clinical,1964,biology_animal_model,2
T3_dwarf_clinical,1965,biology_animal_model,5
T3_dwarf_clinical,1966,biology_animal_model,6
T3_dwarf_clinical,1967,biology_animal_model,1
T3_dwarf_clinical,1968,biology_animal_model,2
T3_dwarf_clinical,1969,biology_animal_model,4
T3_dwarf_clinical,1970,biology_animal_model,3
T3_dwarf_clinical,1971,biology_animal_model,5
T3_dwarf_clinical,1972,biology_animal_model,10
T3_dwarf_clinical,1973,biology_animal_model,7
T3_dwarf_clinical,1974,biology_animal_model,2
T3_dwarf_clinical,1975,biology_animal_model,9
T3_dwarf_clinical,1976,biology_animal_model,10
T3_dwarf_clinical,1977,biology_animal_model,6
T3_dwarf_clinical,1978,biology_animal_model,4
T3_dwarf_clinical,1979,biology_animal_model,7
T3_dwarf_clinical,1980,biology_animal_model,10
T3_dwarf_clinical,1981,biology_animal_model,9
T3_dwarf_clinical,1982,biology_animal_model,19
T3_dwarf_clinical,1983,biology_animal_model,20
T3_dwarf_clinical,1984,biology_animal_model,13
T3_dwarf_clinical,1985,biology_animal_model,11
T3_dwarf_clinical,1986,biology_animal_model,17
T3_dwarf_clinical,1987,biology_animal_model,12
T3_dwarf_clinical,1988,biology_animal_model,16
T3_dwarf_clinical,1989,biology_animal_model,15
T3_dwarf_clinical,1990,biology_animal_model,23
T3_dwarf_clinical,1991,biology_animal_model,21
T3_dwarf_clinical,1992,biology_animal_model,15
T3_dwarf_clinical,1993,biology_animal_model,25
T3_dwarf_clinical,1994,biology_animal_model,30
T3_dwarf_clinical,1995,biology_animal_model,23
T3_dwarf_clinical,1996,biology_animal_model,29
T3_dwarf_clinical,1997,biology_animal_model,30
T3_dwarf_clinical,1998,biology_animal_model,19
T3_dwarf_clinical,1999,biology_animal_model,16
T3_dwarf_clinical,2000,biology_animal_model,21
T3_dwarf_clinical,2001,biology_animal_model,23
T3_dwarf_clinical,2002,biology_animal_model,23
T3_dwarf_clinical,2003,biology_animal_model,25
T3_dwarf_clinical,2004,biology_animal_model,26
T3_dwarf_clinical,2005,biology_animal_model,21
T3_dwarf_clinical,2006,biology_animal_model,22
T3_dwarf_clinical,2007,biology_animal_model,17
T3_dwarf_clinical,2008,biology_animal_model,16
T3_dwarf_clinical,2009,biology_animal_model,20
T3_dwarf_clinical,2010,biology_animal_model,24
T3_dwarf_clinical,2011,biology_animal_model,17
T3_dwarf_clinical,2012,biology_animal_model,18
T3_dwarf_clinical,2013,biology_animal_model,23
T3_dwarf_clinical,2014,biology_animal_model,22
