shift,side,year,count
GPA,old,1990,154
GPA,old,1991,155
GPA,old,1992,122
GPA,old,1993,185
GPA,old,1994,175
GPA,old,1995,168
GPA,old,1996,161
GPA,old,1997,128
GPA,old,1998,150
GPA,old,1999,149
GPA,old,2000,175
GPA,old,2001,165
GPA,old,2002,185
GPA,old,2003,208
GPA,old,2004,171
GPA,old,2005,199
GPA,old,2006,215
GPA,old,2007,250
GPA,old,2008,247
GPA,old,2009,251
GPA,old,2010,268
GPA,old,2011,222
GPA,old,2012,170
GPA,old,2013,159
GPA,old,2014,127
GPA,old,2015,81
GPA,old,2016,81
GPA,old,2017,76
GPA,old,2018,48
GPA,old,2019,49
GPA,old,2020,42
GPA,old,2021,51
GPA,old,2022,41
GPA,old,2023,34
GPA,old,2024,41
GPA,new,1990,0
GPA,new,1991,0
GPA,new,1992,0
GPA,new,1993,1
GPA,new,1994,0
GPA,new,1995,0
GPA,new,1996,0
GPA,new,1997,0
GPA,new,1998,0
GPA,new,1999,0
GPA,new,2000,0
GPA,new,2001,0
GPA,new,2002,0
GPA,new,2003,0
GPA,new,2004,2
GPA,new,2005,0
GPA,new,2006,1
GPA,new,2007,0
GPA,new,2008,0
GPA,new,2009,0
GPA,new,2010,0
GPA,new,2011,49
GPA,new,2012,136
GPA,new,2013,219
GPA,new,2014,275
GPA,new,2015,310
GPA,new,2016,309
GPA,new,2017,371
GPA,new,2018,342
GPA,new,2019,350
GPA,new,2020,418
GPA,new,2021,536
GPA,new,2022,515
GPA,new,2023,492
GPA,new,2024,494
EGPA,old,1990,21
EGPA,old,1991,23
EGPA,old,1992,25
EGPA,old,1993,26
EGPA,old,1994,40
EGPA,old,1995,54
EGPA,old,1996,29
EGPA,old,1997,40
EGPA,old,1998,56
EGPA,old,1999,51
EGPA,old,2000,61
EGPA,old,2001,75
EGPA,old,2002,69
EGPA,old,2003,75
EGPA,old,2004,78
EGPA,old,2005,77
EGPA,old,2006,76
EGPA,old,2007,99
EGPA,old,2008,122
EGPA,old,2009,123
EGPA,old,2010,126
EGPA,old,2011,128
EGPA,old,2012,139
EGPA,old,2013,100
EGPA,old,2014,83
EGPA,old,2015,54
EGPA,old,2016,52
EGPA,old,2017,59
EGPA,old,2018,46
EGPA,old,2019,36
EGPA,old,2020,46
EGPA,old,2021,35
EGPA,old,2022,36
EGPA,old,2023,33
EGPA,old,2024,33
EGPA,new,1990,0
EGPA,new,1991,0
EGPA,new,1992,0
EGPA,new,1993,0
EGPA,new,1994,0
EGPA,new,1995,0
EGPA,new,1996,0
EGPA,new,1997,0
EGPA,new,1998,0
EGPA,new,1999,0
EGPA,new,2000,0
EGPA,new,2001,0
EGPA,new,2002,0
EGPA,new,2003,0
EGPA,new,2004,0
EGPA,new,2005,0
EGPA,new,2006,0
EGPA,new,2007,0
EGPA,new,2008,0
EGPA,new,2009,0
EGPA,new,2010,0
EGPA,new,2011,0
EGPA,new,2012,11
EGPA,new,2013,54
EGPA,new,2014,75
EGPA,new,2015,90
EGPA,new,2016,120
EGPA,new,2017,124
EGPA,new,2018,127
EGPA,new,2019,126
EGPA,new,2020,176
EGPA,new,2021,215
EGPA,new,2022,235
EGPA,new,2023,228
EGPA,new,2024,221
